입국자국가,국가코드,입국연월,입국자 수
미국,275,200501,34769
미국,275,200502,31561
미국,275,200503,42056
미국,275,200504,49877
미국,275,200505,48940
미국,275,200506,54938
미국,275,200507,50295
미국,275,200508,44981
미국,275,200509,43233
미국,275,200510,51017
미국,275,200511,40001
미국,275,200512,38965
미국,275,200601,34473
미국,275,200602,33529
미국,275,200603,42941
미국,275,200604,49404
미국,275,200605,53891
미국,275,200606,56597
미국,275,200607,51960
미국,275,200608,48139
미국,275,200609,45797
미국,275,200610,55655
미국,275,200611,41924
미국,275,200612,41394
